"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000083444.18",909.766242181828,1.66966559495342,0.552051438272631,0.000195705413356867,0.00562953083492224
"ENSG00000120949.15",17.4627308130997,2.27353752549415,0.746985209879299,0.000143717170422296,0.0044658508765746
"ENSG00000028137.20",527.186878665755,1.46450159763493,0.538540711313585,0.000566557550801872,0.0127726786845749
"ENSG00000162493.18",1049.0860431112,3.19611448281337,0.456799437658125,1.46674972092146e-13,4.70768762400489e-11
"ENSG00000189337.17",428.553358798357,-1.14038364420617,0.400420462074308,0.000596710200045916,0.0132806130563139
"ENSG00000142621.22",67.2711733549819,1.97619069148751,1.24515330956017,0.00365369551529463,0.0496750335510634
"ENSG00000142634.14",1090.60440895942,1.38350342654512,0.340235416630365,5.55679014771564e-06,0.000301215071273839
"ENSG00000183888.4",9.04752297930658,-4.87297275579346,1.5455643491763,7.79802365692003e-05,0.00271351199804922
"ENSG00000227959.3",68.4590823036559,-2.20500794045211,0.655713175308275,4.44894003428441e-05,0.00170365768063265
"ENSG00000291077.2",46.8756972074284,-2.29181436893744,0.526384762878858,9.01524993541698e-07,6.59428041356314e-05
"ENSG00000117122.15",218.260336204969,3.96550907396603,0.514389997026971,6.8177338043003e-16,3.53840384443186e-13
"ENSG00000179023.9",32.9651367685922,-3.18133861230936,0.631131047448254,3.13500343071115e-08,3.54037679098783e-06
"ENSG00000158825.7",364.367977818477,-2.89692940948723,0.822498103997744,1.80217129599877e-05,0.000802196431082078
"ENSG00000189410.13",11.3906470181425,4.26127754412302,1.386650331235,0.000224436357526407,0.00622438744333305
"ENSG00000162551.15",134.823937482502,2.02098369769743,0.447591395996905,4.54060212017131e-07,3.65540948902108e-05
"ENSG00000076864.22",198.582980499768,-1.63419999341851,0.659668380197465,0.000879546578139977,0.0176437332899412
"ENSG00000133216.17",123.893784017692,2.7354002629656,0.488456294989243,1.30020579077789e-09,2.04618837770614e-07
"ENSG00000117308.16",350.91627332153,-1.33386572675229,0.430835187523334,0.000208516850739711,0.00593872829545598
"ENSG00000184454.8",32.7857037444436,-2.2599348723721,0.782096384034071,0.000207536317615373,0.00592449323918014
"ENSG00000204178.12",1010.96850107796,-1.03110610349823,0.372939892279761,0.000908599785004538,0.0180190850045656
"ENSG00000117632.24",1773.55547557155,1.08618300254709,0.403562054619548,0.00106886220792534,0.0202719716500565
"ENSG00000253368.5",482.763146686962,-2.73561103315183,0.50525063922481,3.47586805666805e-09,4.95254646382539e-07
"ENSG00000158246.8",542.782646730086,-2.85388161368665,0.532425330656853,4.60282594723641e-09,6.27244320284568e-07
"ENSG00000126709.16",535.637672660211,2.48583987403115,0.878520313806395,0.000207659644959579,0.00592449323918014
"ENSG00000130775.17",431.187162949118,1.18774202687996,0.391101073141087,0.000315542519786646,0.00809361586241395
"ENSG00000130766.6",362.369941696059,-1.52457646243723,0.447699172377836,5.91457508913502e-05,0.00215656547308327
"ENSG00000204138.14",2053.02400970163,-1.41499979133663,0.404719372982774,4.54170471938697e-05,0.0017310281753126
"ENSG00000162511.9",1638.48198737628,1.68040323635931,0.695606838708166,0.00101663953132047,0.0196038641007907
"ENSG00000121753.13",31.9180162008474,1.29082406314876,0.581382520637436,0.00258480234442781,0.0380054753391365
"ENSG00000134668.14",97.0504124112242,3.89785379896725,0.821349508198585,1.05526047655769e-07,1.05495773789638e-05
"ENSG00000175130.8",631.471699207313,1.81074040587649,0.414333246481323,9.86949450516637e-07,7.06001699309452e-05
"ENSG00000121904.19",39.3263739228023,2.75608666482119,0.634079937532084,9.29647649542868e-07,6.72904899563774e-05
"ENSG00000092853.15",216.721926126614,1.24912361784501,0.449215847752467,0.000620183376286643,0.0136934791510477
"ENSG00000119535.21",484.519320504464,2.07646660483021,0.572302080025586,1.79927013815586e-05,0.000802196431082078
"ENSG00000163874.12",387.755581917191,1.38379583925804,0.452965780513645,0.000227468998893841,0.00628386329560301
"ENSG00000169218.15",44.797129397153,-2.08705729707561,0.58479194168307,2.27043347642203e-05,0.000966538984125
